employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
6979,Sales & Marketing,region_2,Bachelors,m,other,2,41,2.0,7,0,0,54
51647,R&D,region_2,Bachelors,f,other,1,34,5.0,4,1,0,89
54132,Analytics,region_28,Bachelors,m,sourcing,1,33,5.0,4,1,0,84
2891,Sales & Marketing,region_16,Bachelors,m,other,1,32,4.0,6,0,0,48
58209,Sales & Marketing,region_1,Bachelors,m,other,1,30,3.0,4,1,0,48
2967,Operations,region_22,Bachelors,f,other,1,28,3.0,5,0,0,60
74133,Procurement,region_13,Bachelors,m,sourcing,1,51,2.0,2,0,0,71
50819,Technology,region_17,Bachelors,m,sourcing,1,26,5.0,2,1,0,81
71796,Finance,region_15,Bachelors,m,other,1,31,3.0,4,0,0,57
68358,Sales & Marketing,region_7,Masters & above,f,other,2,35,1.0,8,0,0,49
31054,Operations,region_7,Masters & above,m,other,1,36,3.0,3,0,0,60
12687,HR,region_2,Bachelors,f,other,1,43,4.0,6,0,0,46
30049,Analytics,region_30,Bachelors,m,sourcing,1,31,3.0,4,0,0,85
57571,Procurement,region_16,Masters & above,f,sourcing,1,41,5.0,6,1,0,71
55796,Finance,region_2,Bachelors,m,other,1,40,3.0,7,0,0,59
26995,Operations,region_7,Masters & above,m,other,1,44,5.0,4,1,0,63
11152,Procurement,region_17,Bachelors,m,sourcing,1,28,5.0,3,1,0,69
39203,Sales & Marketing,region_13,Bachelors,m,sourcing,1,32,3.0,8,0,0,57
18963,Procurement,region_7,Bachelors,f,other,1,32,3.0,9,0,0,83
48896,Sales & Marketing,region_2,,m,sourcing,1,34,1.0,7,1,0,49
22041,Technology,region_11,Bachelors,f,sourcing,1,31,4.0,4,1,0,82
23475,Analytics,region_28,Masters & above,m,sourcing,1,38,5.0,12,0,0,89
77936,Procurement,region_7,Masters & above,m,sourcing,2,47,4.0,5,1,0,69
62425,Sales & Marketing,region_7,Bachelors,m,other,1,37,3.0,10,1,0,48
51562,HR,region_31,Bachelors,m,sourcing,2,24,,1,1,0,52
24522,Sales & Marketing,region_23,Bachelors,m,other,1,38,5.0,7,1,0,48
54720,Technology,region_16,Masters & above,f,other,1,34,3.0,6,0,0,79
52126,Sales & Marketing,region_18,Bachelors,m,other,1,34,1.0,4,0,0,50
22569,Operations,region_22,Below Secondary,f,other,1,26,5.0,5,1,0,59
67910,Sales & Marketing,region_7,Masters & above,m,other,2,32,1.0,9,0,0,43
7656,Sales & Marketing,region_10,Masters & above,m,other,1,46,4.0,4,1,0,59
36145,Technology,region_10,Masters & above,m,sourcing,1,42,2.0,5,1,0,85
21130,Procurement,region_2,Masters & above,f,other,3,57,3.0,21,0,0,68
21626,Sales & Marketing,region_22,Bachelors,f,other,1,28,4.0,4,1,0,48
7800,Sales & Marketing,region_11,Bachelors,m,other,1,45,1.0,7,0,0,46
65366,Technology,region_2,Masters & above,f,referred,1,55,1.0,19,0,0,80
29274,Sales & Marketing,region_14,Masters & above,m,sourcing,2,33,1.0,6,0,0,51
63289,Operations,region_7,Masters & above,m,sourcing,3,40,3.0,5,0,0,63
75347,Technology,region_27,Bachelors,f,sourcing,1,24,,1,1,0,82
17711,R&D,region_15,Bachelors,m,other,1,28,5.0,2,0,0,84
30855,Sales & Marketing,region_26,Bachelors,m,sourcing,1,30,2.0,2,1,0,51
73892,Procurement,region_15,Masters & above,f,other,1,32,3.0,3,0,0,67
46542,Analytics,region_2,Masters & above,m,sourcing,1,49,4.0,19,0,0,81
21761,Legal,region_2,Below Secondary,m,sourcing,1,26,5.0,2,1,0,62
60753,R&D,region_2,Masters & above,m,sourcing,1,34,5.0,7,1,0,84
16517,Procurement,region_22,Masters & above,f,other,1,40,3.0,3,0,0,72
66302,Operations,region_27,Bachelors,f,other,1,34,5.0,7,1,0,61
59836,Legal,region_32,Bachelors,m,sourcing,1,34,3.0,6,0,0,55
34051,Sales & Marketing,region_15,Bachelors,m,other,1,33,4.0,4,1,0,50
29980,Technology,region_2,Bachelors,m,sourcing,1,30,,1,1,0,79
55005,Technology,region_7,Bachelors,m,sourcing,2,27,3.0,2,0,0,77
6197,Sales & Marketing,region_28,Bachelors,m,sourcing,2,39,5.0,7,1,0,50
1177,Sales & Marketing,region_7,Masters & above,f,sourcing,1,43,2.0,3,0,0,52
68616,Operations,region_6,Bachelors,m,sourcing,1,36,4.0,3,0,0,62
24762,Sales & Marketing,region_7,,m,sourcing,1,25,2.0,3,1,0,57
33809,Technology,region_4,Masters & above,f,other,1,34,2.0,2,1,0,78
56965,Procurement,region_16,Bachelors,m,sourcing,2,29,,1,0,0,69
43803,Procurement,region_2,Bachelors,f,other,1,58,2.0,5,0,0,67
48248,Technology,region_25,Masters & above,f,other,1,33,4.0,3,1,1,79
32964,Sales & Marketing,region_2,,m,other,1,36,5.0,5,1,0,52
6237,Finance,region_23,Masters & above,m,other,1,35,3.0,7,0,0,55
37620,Sales & Marketing,region_10,Masters & above,m,other,1,32,4.0,3,0,0,48
60368,Technology,region_27,Below Secondary,m,other,3,23,5.0,2,1,0,76
17014,Sales & Marketing,region_4,Masters & above,m,other,1,43,1.0,14,0,0,53
67658,Analytics,region_32,Bachelors,m,other,1,26,3.0,2,0,0,84
12031,Sales & Marketing,region_16,,m,other,1,25,3.0,2,0,0,48
77489,Procurement,region_10,Bachelors,f,sourcing,1,32,2.0,7,0,0,95
5886,Procurement,region_2,Bachelors,m,sourcing,3,25,3.0,4,0,0,65
55219,Operations,region_22,Bachelors,m,sourcing,1,28,5.0,2,1,0,61
5330,Procurement,region_13,Masters & above,m,other,1,45,4.0,16,1,0,70
48939,Procurement,region_10,Masters & above,f,sourcing,1,35,1.0,7,0,0,69
37982,Operations,region_4,Bachelors,m,other,1,26,4.0,2,1,0,59
46628,Technology,region_4,Masters & above,m,other,1,37,4.0,5,0,0,76
45415,Technology,region_24,Bachelors,f,sourcing,1,26,5.0,2,1,0,83
46465,Operations,region_9,Bachelors,m,sourcing,1,26,3.0,2,0,0,60
76014,Sales & Marketing,region_7,,m,sourcing,1,27,4.0,2,0,0,50
21182,Procurement,region_32,Bachelors,m,sourcing,1,34,3.0,3,0,0,73
52309,Finance,region_2,Bachelors,m,sourcing,1,33,5.0,6,1,0,58
54336,Analytics,region_15,Masters & above,m,other,1,29,4.0,4,1,0,83
24188,Technology,region_2,Bachelors,f,referred,1,39,3.0,10,0,0,80
50428,Legal,region_7,Below Secondary,m,sourcing,1,28,5.0,3,0,0,59
49416,Operations,region_29,Bachelors,f,other,1,32,3.0,5,0,0,62
74737,Sales & Marketing,region_7,Bachelors,m,other,1,29,3.0,4,0,1,95
66436,Sales & Marketing,region_9,Bachelors,m,sourcing,1,32,1.0,3,0,0,48
57078,Operations,region_22,Bachelors,f,other,1,42,5.0,5,1,0,58
40814,Technology,region_31,Bachelors,m,other,1,45,3.0,11,0,0,77
62306,Procurement,region_1,Bachelors,f,sourcing,1,29,,1,0,0,69
75127,Sales & Marketing,region_16,Bachelors,m,sourcing,1,51,3.0,23,0,0,48
22013,Operations,region_26,Bachelors,f,sourcing,1,31,4.0,3,0,0,57
13454,Procurement,region_7,Masters & above,f,sourcing,1,34,4.0,3,1,0,74
13530,Operations,region_22,Below Secondary,m,sourcing,1,23,,1,0,0,60
73754,Analytics,region_22,Bachelors,m,sourcing,2,30,2.0,3,0,0,86
76368,Sales & Marketing,region_26,Bachelors,m,sourcing,1,29,3.0,3,0,0,47
76316,Operations,region_2,Masters & above,f,sourcing,1,60,3.0,31,0,0,57
6866,HR,region_8,Bachelors,f,other,1,26,5.0,2,1,0,50
58521,Analytics,region_7,Bachelors,m,sourcing,2,42,4.0,3,0,0,84
35593,Technology,region_26,Bachelors,f,other,1,34,1.0,5,1,0,80
1135,Operations,region_8,Bachelors,f,other,1,30,5.0,8,1,0,63
66630,Sales & Marketing,region_2,Bachelors,m,other,1,52,4.0,3,1,0,52
58399,Sales & Marketing,region_2,Bachelors,m,other,2,29,5.0,3,0,0,50
376,R&D,region_16,Bachelors,m,other,1,36,3.0,7,1,1,86
9021,Technology,region_2,Bachelors,m,sourcing,1,37,4.0,8,0,0,83
7468,Technology,region_2,Masters & above,f,other,1,56,4.0,2,1,1,79
20861,Procurement,region_5,Bachelors,m,other,2,31,3.0,7,0,0,70
43668,Operations,region_8,Masters & above,m,sourcing,1,42,3.0,7,1,0,59
51827,Sales & Marketing,region_34,Bachelors,m,sourcing,1,29,3.0,2,0,0,52
31479,Operations,region_15,,f,other,1,33,3.0,6,1,0,64
16159,Operations,region_15,Masters & above,f,sourcing,1,43,4.0,7,0,0,65
24129,Sales & Marketing,region_4,Masters & above,f,other,1,43,5.0,7,0,0,52
58149,Sales & Marketing,region_2,Bachelors,f,sourcing,1,40,5.0,4,0,0,50
33923,Sales & Marketing,region_11,Bachelors,m,sourcing,1,32,3.0,4,0,0,50
21631,Operations,region_7,Bachelors,m,sourcing,1,30,5.0,8,1,0,59
16472,Legal,region_31,Bachelors,m,other,1,31,,1,1,0,56
4446,Sales & Marketing,region_13,Masters & above,m,other,3,34,3.0,4,0,0,51
16252,Operations,region_19,Bachelors,f,sourcing,1,40,5.0,3,1,0,61
38623,Operations,region_3,Masters & above,f,sourcing,1,36,3.0,7,0,0,65
64585,Operations,region_13,Bachelors,m,sourcing,1,32,3.0,2,0,0,58
22467,Procurement,region_2,Masters & above,f,sourcing,1,52,3.0,10,0,0,70
15766,HR,region_2,Masters & above,m,sourcing,1,45,5.0,5,1,0,45
75716,Analytics,region_28,Masters & above,m,sourcing,1,36,5.0,8,1,0,82
25644,Sales & Marketing,region_27,Bachelors,f,sourcing,1,33,4.0,6,1,0,47
32443,Technology,region_26,Bachelors,m,other,1,23,,1,0,0,84
8088,Analytics,region_29,Masters & above,m,sourcing,1,33,2.0,6,0,0,85
65972,Sales & Marketing,region_22,,m,other,1,25,3.0,2,0,0,50
15060,Sales & Marketing,region_1,Masters & above,m,sourcing,1,31,,1,1,0,99
48492,HR,region_13,Bachelors,m,other,1,35,5.0,5,1,0,51
60946,Finance,region_26,Bachelors,m,sourcing,1,25,,1,0,0,62
28715,Operations,region_11,Bachelors,f,other,1,27,5.0,3,1,0,58
19420,Operations,region_15,Bachelors,m,other,1,38,1.0,9,1,0,59
58834,Operations,region_2,Masters & above,f,sourcing,1,35,5.0,8,1,0,60
31195,Technology,region_2,Below Secondary,f,referred,2,24,3.0,3,0,0,79
40995,Technology,region_2,Masters & above,f,sourcing,1,45,3.0,12,0,0,80
16319,Sales & Marketing,region_31,Masters & above,m,other,1,49,3.0,5,1,0,49
32517,Analytics,region_25,Bachelors,m,sourcing,1,31,3.0,1,0,0,86
41350,Procurement,region_22,Bachelors,f,other,1,25,1.0,4,1,0,71
59604,Procurement,region_13,Bachelors,m,other,2,32,3.0,6,0,0,69
77781,Operations,region_12,Bachelors,f,other,1,29,5.0,4,1,0,54
44355,Technology,region_31,Masters & above,m,sourcing,1,40,1.0,2,1,0,78
64401,Procurement,region_32,Bachelors,m,other,2,33,3.0,6,0,0,73
15561,Technology,region_2,Bachelors,f,other,1,34,2.0,9,0,0,73
47309,Sales & Marketing,region_7,Masters & above,m,other,1,53,3.0,19,0,0,51
19963,Technology,region_2,Masters & above,m,other,3,33,4.0,3,0,0,78
72868,Sales & Marketing,region_25,Bachelors,m,other,1,39,1.0,4,0,0,50
22491,Sales & Marketing,region_23,Bachelors,m,sourcing,1,41,3.0,8,0,0,43
41411,Sales & Marketing,region_2,Bachelors,f,other,2,46,3.0,14,0,0,53
71220,HR,region_2,Bachelors,f,sourcing,1,28,,1,0,0,48
10441,Sales & Marketing,region_31,Masters & above,m,other,1,43,5.0,3,0,0,55
63840,Technology,region_10,Masters & above,f,other,1,34,3.0,7,0,0,85
78092,Sales & Marketing,region_33,Bachelors,f,sourcing,1,31,1.0,2,0,0,50
50304,Operations,region_22,Below Secondary,f,other,1,23,3.0,2,0,0,59
35822,Sales & Marketing,region_2,Bachelors,m,other,1,48,2.0,4,0,0,51
34226,HR,region_22,Bachelors,m,sourcing,1,28,1.0,2,0,0,47
60362,Sales & Marketing,region_21,Bachelors,m,other,2,26,1.0,4,0,0,48
20009,Operations,region_15,Bachelors,f,sourcing,1,37,3.0,7,0,0,60
63048,Sales & Marketing,region_28,Masters & above,f,sourcing,1,31,4.0,5,0,0,48
6736,Operations,region_22,Bachelors,f,sourcing,1,35,2.0,5,0,0,54
22220,Procurement,region_2,Bachelors,f,sourcing,1,33,1.0,9,0,0,66
44348,Operations,region_2,Bachelors,f,sourcing,2,30,2.0,7,1,0,61
44779,Operations,region_1,Bachelors,f,sourcing,1,27,3.0,3,0,0,63
21163,HR,region_2,Bachelors,m,other,1,31,3.0,6,1,0,49
48136,Sales & Marketing,region_34,Bachelors,m,other,1,30,4.0,3,0,0,49
12057,Analytics,region_4,Bachelors,m,sourcing,1,30,5.0,1,1,0,84
784,Sales & Marketing,region_31,Bachelors,m,other,2,38,3.0,10,0,0,48
63131,Analytics,region_27,Bachelors,m,other,2,41,3.0,6,0,0,86
69414,Sales & Marketing,region_15,Masters & above,m,other,1,30,3.0,4,0,0,49
52583,Operations,region_31,Bachelors,m,sourcing,1,29,3.0,4,0,0,57
31008,Analytics,region_2,Masters & above,m,sourcing,1,41,3.0,5,1,0,83
65642,Analytics,region_2,Bachelors,m,sourcing,1,45,3.0,4,0,0,85
22450,Sales & Marketing,region_2,,m,other,1,32,5.0,6,1,0,50
24334,Legal,region_22,Bachelors,m,referred,1,29,5.0,3,1,0,54
40868,Sales & Marketing,region_2,Masters & above,m,other,2,37,2.0,11,0,0,49
77650,Analytics,region_25,Bachelors,m,other,1,29,5.0,3,0,0,83
11187,Operations,region_28,Bachelors,m,sourcing,1,31,4.0,7,0,0,58
22573,Operations,region_15,Bachelors,f,other,1,41,2.0,5,0,0,60
41981,Sales & Marketing,region_25,Bachelors,m,other,1,36,3.0,7,1,0,48
59963,Procurement,region_16,Bachelors,m,other,1,35,3.0,5,1,0,69
27403,Sales & Marketing,region_19,Bachelors,m,sourcing,1,43,5.0,3,0,0,51
63,Sales & Marketing,region_8,Masters & above,m,sourcing,1,35,5.0,8,0,0,52
36423,Operations,region_27,Masters & above,m,other,1,42,3.0,5,0,0,66
49457,Procurement,region_2,Bachelors,f,other,1,30,3.0,3,0,0,84
11124,Operations,region_15,Bachelors,f,sourcing,1,36,2.0,10,0,0,62
66326,Sales & Marketing,region_2,Bachelors,f,sourcing,2,36,3.0,7,0,0,48
70516,Technology,region_26,Bachelors,m,referred,1,32,4.0,3,1,0,80
9564,Sales & Marketing,region_5,Bachelors,f,other,1,30,2.0,4,0,0,49
71312,Operations,region_2,Bachelors,f,other,1,55,4.0,19,0,0,57
4299,Sales & Marketing,region_12,,m,other,1,24,,1,0,0,49
56517,Operations,region_15,Bachelors,m,other,1,36,2.0,9,1,0,90
7952,HR,region_2,Masters & above,m,other,1,45,4.0,7,0,0,52
24677,Sales & Marketing,region_31,,m,other,1,27,5.0,2,1,0,47
23,Sales & Marketing,region_16,Bachelors,f,sourcing,1,42,1.0,3,0,0,46
72242,Sales & Marketing,region_2,,m,sourcing,1,23,3.0,2,0,0,55
60512,Sales & Marketing,region_27,Bachelors,m,other,1,31,5.0,10,0,0,52
69588,Operations,region_22,Bachelors,f,other,1,34,4.0,9,1,0,61
64449,Sales & Marketing,region_2,Masters & above,m,other,1,32,5.0,3,1,0,47
77844,Procurement,region_22,Bachelors,f,other,1,33,1.0,10,1,0,68
40149,Operations,region_4,Bachelors,m,other,1,32,3.0,7,1,0,56
36452,Procurement,region_2,Bachelors,m,sourcing,2,39,3.0,5,0,0,72
77776,Operations,region_2,Bachelors,f,sourcing,1,39,5.0,2,0,0,61
30497,Analytics,region_31,Bachelors,m,sourcing,1,29,2.0,4,0,0,83
267,Finance,region_22,Bachelors,m,sourcing,1,30,3.0,4,0,0,57
70506,Procurement,region_26,Bachelors,f,other,2,29,5.0,5,1,0,66
6530,Sales & Marketing,region_2,Masters & above,m,sourcing,1,36,2.0,5,0,0,48
1122,Finance,region_15,Bachelors,m,other,1,36,4.0,7,0,0,59
54451,HR,region_2,Masters & above,f,other,1,57,5.0,14,0,0,49
42978,Analytics,region_2,Bachelors,m,other,1,35,1.0,4,0,0,86
60707,Sales & Marketing,region_2,Bachelors,m,sourcing,2,32,4.0,3,1,0,64
31614,Sales & Marketing,region_22,Masters & above,m,sourcing,1,33,5.0,6,1,0,51
29690,Operations,region_26,Masters & above,m,other,1,32,2.0,7,0,0,58
63417,Procurement,region_21,Masters & above,f,sourcing,1,44,5.0,14,1,0,73
22374,Analytics,region_22,Bachelors,m,other,2,29,1.0,3,1,0,88
49167,Operations,region_19,Bachelors,m,sourcing,1,36,3.0,3,0,0,58
30876,Sales & Marketing,region_4,Masters & above,f,sourcing,1,34,5.0,8,0,0,44
69522,Sales & Marketing,region_27,Bachelors,m,other,4,28,3.0,2,1,1,92
1809,Operations,region_2,Bachelors,m,sourcing,1,38,3.0,4,1,0,64
11755,Operations,region_2,Bachelors,f,sourcing,1,50,4.0,4,0,0,57
1522,Operations,region_13,Bachelors,m,other,1,45,3.0,3,0,0,60
22376,Sales & Marketing,region_2,Bachelors,m,sourcing,2,30,3.0,4,0,0,49
34725,Operations,region_23,,m,sourcing,1,29,3.0,7,0,0,55
20677,Sales & Marketing,region_2,Masters & above,f,sourcing,1,34,1.0,7,0,0,50
620,Technology,region_7,Masters & above,m,other,1,32,5.0,6,1,0,83
16920,Procurement,region_26,Masters & above,m,other,1,35,1.0,8,0,0,75
74684,Sales & Marketing,region_22,Bachelors,m,sourcing,1,38,1.0,7,0,0,50
67587,Sales & Marketing,region_16,Bachelors,m,other,1,29,5.0,5,0,0,60
77940,Sales & Marketing,region_19,Bachelors,m,sourcing,1,26,1.0,3,0,0,51
66798,Technology,region_16,Bachelors,f,other,1,25,,1,0,0,77
35140,Sales & Marketing,region_7,Bachelors,m,sourcing,1,28,5.0,5,1,0,47
19237,Technology,region_31,Masters & above,m,other,1,38,5.0,9,1,0,76
18625,Operations,region_12,Bachelors,m,other,1,34,5.0,7,1,0,60
6724,Technology,region_33,Bachelors,m,sourcing,1,30,3.0,4,0,0,82
19742,Sales & Marketing,region_1,Bachelors,m,sourcing,1,29,5.0,4,1,0,46
72989,Sales & Marketing,region_4,Masters & above,m,other,1,42,4.0,8,0,0,55
74490,Technology,region_2,Bachelors,f,sourcing,2,28,3.0,2,0,0,81
2087,Operations,region_7,Masters & above,f,sourcing,1,40,3.0,6,1,0,65
49604,Procurement,region_15,Bachelors,m,sourcing,1,27,3.0,4,1,0,68
12294,Procurement,region_2,,m,sourcing,3,35,3.0,5,1,0,64
3067,Operations,region_22,Bachelors,f,sourcing,1,28,3.0,4,1,0,59
55068,Sales & Marketing,region_21,Bachelors,f,other,1,29,,1,0,0,47
41971,Analytics,region_22,Bachelors,m,sourcing,1,28,3.0,2,1,0,83
52915,Sales & Marketing,region_7,Bachelors,m,sourcing,1,29,4.0,5,1,0,47
63950,Sales & Marketing,region_7,Masters & above,m,sourcing,1,46,4.0,15,0,0,47
48661,Technology,region_26,Masters & above,m,other,1,31,3.0,4,1,0,81
60310,HR,region_7,Bachelors,f,sourcing,1,25,,1,0,0,46
11726,Procurement,region_13,Bachelors,m,other,1,30,3.0,4,0,0,74
3786,Procurement,region_22,Bachelors,m,other,5,28,3.0,5,0,0,70
51750,Sales & Marketing,region_7,Masters & above,m,sourcing,1,49,5.0,2,1,1,48
24376,Operations,region_26,Bachelors,m,other,1,30,4.0,4,1,0,58
7363,Analytics,region_22,,f,sourcing,1,28,5.0,5,1,0,76
74926,Operations,region_7,Masters & above,f,other,1,42,3.0,12,0,1,59
24161,Operations,region_7,Bachelors,f,other,1,43,3.0,12,1,0,59
332,Technology,region_4,Bachelors,m,sourcing,1,34,3.0,7,0,0,85
24216,Procurement,region_10,Masters & above,f,other,1,34,5.0,9,1,0,71
40460,Analytics,region_4,Masters & above,m,other,1,38,5.0,4,1,0,82
19332,Sales & Marketing,region_2,Bachelors,m,other,1,23,5.0,2,1,0,47
15345,Procurement,region_22,Bachelors,f,sourcing,1,28,5.0,6,0,0,84
13956,Sales & Marketing,region_7,Bachelors,m,other,1,32,1.0,5,1,0,49
48846,Procurement,region_2,Bachelors,m,other,1,39,4.0,7,0,0,73
7885,Operations,region_13,Bachelors,m,sourcing,1,35,3.0,5,0,0,60
38607,Operations,region_2,Masters & above,m,sourcing,1,46,5.0,8,1,0,62
11335,Operations,region_7,Bachelors,f,sourcing,2,39,1.0,8,0,0,65
59997,Technology,region_2,Bachelors,f,other,1,45,4.0,15,1,0,80
61831,Procurement,region_2,Bachelors,m,other,1,34,3.0,5,0,0,71
56772,Sales & Marketing,region_22,,m,other,2,23,,1,1,0,53
31980,Sales & Marketing,region_29,Bachelors,m,sourcing,1,34,2.0,10,0,0,47
47554,Technology,region_2,Bachelors,m,referred,2,27,,1,0,0,82
28125,Operations,region_13,Bachelors,m,other,1,31,4.0,4,0,0,59
55806,R&D,region_22,Masters & above,m,sourcing,1,31,5.0,1,0,0,90
36409,Sales & Marketing,region_7,Bachelors,m,sourcing,1,23,4.0,2,1,0,51
19897,Finance,region_31,Bachelors,m,sourcing,2,31,5.0,7,1,0,58
50521,Operations,region_23,Masters & above,m,other,1,43,1.0,5,0,0,58
78121,Operations,region_2,Bachelors,m,sourcing,1,24,,1,0,0,61
55159,Sales & Marketing,region_2,Bachelors,m,sourcing,1,51,4.0,22,0,0,52
21573,Sales & Marketing,region_2,Masters & above,m,other,2,32,2.0,7,0,0,49
67362,Procurement,region_10,Bachelors,f,other,1,28,4.0,2,0,0,70
70496,Procurement,region_10,Masters & above,m,other,1,38,4.0,10,0,0,66
59042,Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,4.0,10,1,0,46
41340,Procurement,region_14,Masters & above,m,other,1,33,5.0,6,1,0,70
39993,Sales & Marketing,region_3,Bachelors,m,sourcing,1,36,3.0,8,0,0,55
8710,Technology,region_4,Bachelors,f,other,1,30,2.0,2,0,0,77
1253,Analytics,region_7,Masters & above,m,sourcing,1,35,5.0,5,0,0,85
74329,Legal,region_2,Below Secondary,f,sourcing,1,27,1.0,2,0,0,63
56724,Sales & Marketing,region_3,Bachelors,m,other,1,30,3.0,6,0,0,51
3270,Procurement,region_5,Bachelors,m,other,1,37,5.0,8,0,0,67
69551,Sales & Marketing,region_23,Bachelors,m,sourcing,1,28,3.0,5,0,0,44
22867,Procurement,region_7,Below Secondary,m,other,1,23,,1,0,0,68
48210,Sales & Marketing,region_26,Bachelors,m,other,1,49,3.0,7,0,0,53
4635,Sales & Marketing,region_31,,m,sourcing,1,28,1.0,4,0,0,51
76634,Operations,region_9,Bachelors,f,sourcing,1,26,5.0,3,0,0,59
73985,Procurement,region_2,Masters & above,f,sourcing,2,54,3.0,10,1,0,73
61677,Operations,region_2,Bachelors,m,sourcing,1,30,5.0,3,1,0,60
41798,Operations,region_7,Bachelors,m,sourcing,1,33,4.0,3,0,0,58
3619,Technology,region_27,Bachelors,m,other,1,29,1.0,2,0,0,82
49764,Procurement,region_34,Masters & above,f,sourcing,1,36,3.0,3,1,0,70
